imd_band,n,BaseRate,FalsePositiveRate,FalseNegativeRate,Recall,Precision
Unknown,217.0,0.313,0.242,0.309,0.691,0.566
0-10%,698.0,0.649,0.661,0.060,0.940,0.724
10-20,718.0,0.635,0.515,0.092,0.908,0.754
20-30%,691.0,0.569,0.513,0.115,0.885,0.695
30-40%,668.0,0.518,0.432,0.202,0.798,0.665
40-50%,677.0,0.524,0.435,0.177,0.823,0.676
50-60%,638.0,0.513,0.341,0.214,0.786,0.708
60-70%,569.0,0.475,0.351,0.200,0.800,0.673
70-80%,561.0,0.485,0.377,0.191,0.809,0.669
80-90%,503.0,0.455,0.369,0.227,0.773,0.637
90-100%,531.0,0.431,0.262,0.301,0.699,0.669
